id,name,duration,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,danceability
1Lim1Py7xBgbAkAys3AGAG,Lean On,2.94,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,0.723
3QGsuHI8jO1Rx4JWLUh9jd,Treat You Better,3.13,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695,0.444
0zLCBJZSiELJf02ucPP9wb,Roses (Imanbek remix),2.95,0.719,8,-5.472,1,0.0474,0.0143,0.00777,0.359,0.863,121.955,0.769
7dt6x5M1jzdTEt8oCbisTK,Better Now,3.85,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,0.68
5Nm9ERjJZ5oyfXZTECKmRt,Stay with Me,2.88,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,0.418
3a1lNhkSLSkpJE4MSHpDu9,Congratulations,3.67,0.804,6,-4.183,1,0.0363,0.215,0.0,0.253,0.492,123.146,0.63
698ItKASDavgwZ3WjaWjtz,Faded,3.54,0.627,6,-5.085,1,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,0.468
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,4.84,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,0.908
27NovPIUIRrOZoCHxABJwK,Industry Baby,3.53,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,0.736
5Z01UMMf7V1o0MzF86s6WJ,Lose Yourself,5.44,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374,0.692
5UXJzLFdBn6u9FJTCnoHrH,Memories,4.15,0.684,11,-6.306,1,0.044,0.00979,0.0,0.348,0.556,112.969,0.34
3LlAyCYU26dvFZBDUIMb7a,Demons,2.92,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,0.505
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,3.72,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,0.352
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk,4.49,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,0.856
3VlbOrM6nYPprVvzBZllE5,Too Good at Goodbyes,3.35,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,0.681
5nujrmhLynf4yMoMtj8AQF,Levitating,3.38,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,0.702
1MtUq6Wp1eQ8PC6BbPCj8P,I Took a Pill in Ibiza (Seeb Remix),3.3,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,0.664
40XeGNGFchGYw7y0ue1GiG,Don't Let Me Down,3.49,0.502,4,-7.539,1,0.0493,0.699,0.000156,0.094,0.674,163.347,0.455
3e9HZxeyfWwjeyPAMmWSSQ,"Thank U, Next",3.46,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,0.717
3An0Mae1vtOmLpQtqD4ynf,I Don't Care,3.67,0.676,6,-5.041,1,0.0442,0.0902,0.0,0.0894,0.843,101.956,0.798
47EiUVwUp4C9fGccaPuUCS,Dakiti,3.42,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,0.731
1SC5rEoYDGUK4NfG82494W,Montero (Call Me by Your Name),2.3,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,0.593
0yUaLqhsVsguBpoOPL4cO7,Mood,2.16,0.74,0,-6.595,1,0.336,0.696,6.81e-06,0.23,0.532,141.059,0.768
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,4.54,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,0.548
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,3.9,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,0.726
2CEgGE6aESpnmtfiZwYlbV,Dynamite,3.38,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,0.751
6rPO02ozF3bM7NnOV4h6s2,Despacito (remix),3.81,0.816,2,-4.353,1,0.167,0.228,0.0,0.0967,0.816,178.085,0.653
0JP9xo3adEtGSdUEISiszL,Moonlight,2.25,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,0.921
7ygpwy2qP3NbrxVkHvUhXY,Wonderwall,4.31,0.893,2,-4.097,1,0.0406,0.000509,0.0,0.187,0.434,174.323,0.375
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,4.88,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,0.69
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,3.44,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,0.853
0nbXyq5TXYPCO7pr3N8S4I,The Box,3.28,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,0.896
4xkOaSrkexMciUUogZKVTS,'Till I Collapse,4.96,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,0.548
7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,3.32,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998,0.866
5jsw9uXEGuKyJzs0boZ1bT,Stitches,3.45,0.754,1,-6.684,1,0.0615,0.0151,0.0,0.0486,0.755,149.789,0.752
3S4px9f4lceWdKf0gWciFu,Cheap Thrills,3.53,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,0.628
5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,5.03,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,0.502
7KA4W4McWYRpgf0fWsJZWB,See You Again,3.01,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,0.558
52ZAsLhFwhCZsExUpSdG5H,I'm Yours,2.93,0.633,1,-6.726,1,0.0711,0.0886,0.0,0.116,0.505,94.875,0.646
0EcQcdcbQeVJn9fknj44Be,I Like Me Better,3.29,0.505,9,-7.621,1,0.255,0.534,2.58e-06,0.104,0.419,91.972,0.753
5kqIPrATaCc2LqxVWzQGbk,7 Years,3.96,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,0.765
3AJwUDP919kvQ9QcozQPxg,Yellow,4.45,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,0.429
6UelLqGlWMcVH1E5c4H7lY,Sugar,2.9,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,0.548
6habFhsOp2NvshLv26DqMb,Despacito,3.82,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,0.655
6XdYD0hrNIOHb0emKC3l9U,Don't Stop Me Now,7.05,0.553,5,-5.51,1,0.0773,0.71,0.0,0.101,0.419,112.603,0.471
